kinship,combat,vet,Age,Sex,id
Kinship is a loyal bobd between people. The people can be in a close group like family. Or a group involved in an activity like a sports team or even coworkers.  Something common would bond the people in a loyal group like a common goal.,,no,46,Male,54afe839fdf99b6f2c1214ce
"The trust between parties coming from their shared culture, origin, etc. It can be considered an imaginary construct, but it helps us rely on each other during emergency situations for example. Since humans are social creatures, kinship is deeply rooted in our brains.",,no,22,Male,55945594fdf99b5eeb77263f
Kinship and community are interchangeable where I come from. We are in a rural area and it is all in for everyone. We had a terrible storm last night and out of the blue I said Imagine if we were on a ranch farther out. We would have to really rely on ourselves. Here people pitch in. ,,no,55,Female,580a34af5773b50001aab166
"Kinship is a type of relationship. It describes how connected you feel to another human being. It's different than friendship - it implies a closer relationship than that, almost like that of family. ",,no,42,Female,58820ef3846b830001085942
'Kinship' means having something strongly in common with someone. This can lead to have a closeness to that person that is closer than a blood relative relation.,,no,46,Female,594a8e2eeaa18e000163f6cd
"Kinship is that blood relationship that binds several people within the same family, such as brothers, cousins,...",,no,49,Male,5a06f0579b760100013a6d8c
i think that kinship is about family. i thinks about being close to family,,no,42,Female,5a384471e7bc8000010a8df2
Blood realtions. Solidarity built in training and combat.Unspoken understanding among teammates.,,no,42,Female,5b27d79e878ec200017b0eb3
Kinship is when you have a close relationship with maybe similar groups of people. This can also be relationship with family members.,,no,52,Female,5b314cf6532e3d00018e3099
"Kinship for me is not necessarily a bond determined by blood affinity. I really believe that family and kins are social groups made up by people of whom we feel fond and care about. The same of course should be true in the other sense, with these people caring about me and enjoying the moments in which I succeed in life.",,no,24,Male,5b55c6a2e173e60001963940
This to me is the relationship between individuals. For example different members of society or even family relationships like parents and their children.,,no,42,Female,5b7c04bf0f93110001942561
"For me, kinship means common origin and upbringing according to common values. it is also a community of similar people.",,no,53,Female,5baa61b2b7c63c0001837e4a
It reminds me of deep connection between human beings. Deep relationships that are strong and last overtime. A social network that you can count on and that they can count on you.,,no,34,Female,5bb4a57a63c79300018d8a26
"Being as a family, working together and making compromises along the way",,no,55,Female,5c49753e84974e0001500c9f
It's not really a term I use. I guess it means friendship/acquaintancy or a relationship with a level of respect.,,no,30,Female,5c50cd6cd5f934000198d5d6
"To me, kinship means to like or relate to someone with a common background or experiences.",,no,30,Female,5c59866b2e4cc90001d08a07
"The word kinship describes a situation where you are a family member to another. If you have a kinship with another person, you are family with them. I think it can also be used to describe very close non-family relationships that are similar to family.",,no,27,Male,5c64d19d4617e900014217ca
It is feeing a bond with someone. It is having mutual concerns about things that affect us both.,,no,41,Male,5c742339e621f900163f4543
"Kinship revolves around relationships and how we treat and look out for others, particularly in difficult times. ",,no,31,Male,5c7bf7e3de6f7900140c34e5
