kinship,combat,vet,Age,Sex,id
Kinship means a blood relation to another person.  It means that you are related to them by blood and might use it casually to refer to an oath to really good friends.,Yes,yes,39,Male,56228c48ed6e5a0005c7fdd6
"In a nutshell, Kinship means family to me. It is having a person, or people, who promise to be involved in your life who are members of your family and who you feel close to.",Yes,yes,68,Male,572915440802f2000e3f1afe
"Kinship means a weak friendship. I would feel a kinship with all Americans, even though I'm not friends with them. Kinship is a feeling. ",Yes,yes,36,Male,5914b7b50a4b9d0001add64f
the word kinship is another word for family and love it can be taken literally or theorhetically,Yes,yes,66,Male,5a9e9fc46219a30001f54994
"Kinship means supporting your family and your friends, and your surrounding community. It means to reach out to ones who need help, and that if you will need help in the future you could get help from your loved ones and community.",Yes,yes,22,Male,5ac71e9768b65b00018d6d8a
"Kinship to me is not just about blood family. Kinship is the bond between me and my Folk, Black folks. From America to South America and Afrika. I love my kin",Yes,yes,51,Male,5af714c025561e00013acec0
"indicates the bond that can be generated between two members of the same species, not necessarily a familiar/blood bond. Often these types of bonds are formed when critical, traumatic, profound events are shared together, or the same ideas or feelings towards an ideal are shared. It is very common among members of the military and among professional categories where life and death experiences are often shared.",Yes,yes,42,Male,5b04bbd4b98c410001adb8db
"Kinship means having a familial relationship to me. Kin are members of my extended family, those I make a promise to protect.",Yes,yes,64,Male,5b7c4d7d8c721a00015d2bea
having friends who you can trust with your life and knowing that you are always there for them and they are always there for you.,Yes,yes,69,Male,5b91494498530500014c1fcd
"Family and closeness. I wouldn't say friends count as it is an older style word, I think of big extended families with it, something almost akin to a tribe rather than the more typical nuclear family as the Americans would call it. ",Yes,yes,33,Male,5b9f7dd13a3808000192ad3e
Kinship means the relationship between the same family members. It can be through blood or marriage. Some family members may not know each other but they are kin because of blood relations.,Yes,yes,46,Male,5bc3fb6d21f69f00011d9ad2
"kinship is to fell close to other people of the same trait, like a woman at a certain job feeling close to other women at the same place, or the people of a nation feeling some kinship to one another.",Yes,yes,28,Male,5bd4944a72eb1f0001efb198
"Kinship to me is usually a blood relationship between two people that have familial ties to one another. However, I also believe that kinship can include non-blood related people, such as close friends who have the same characteristics as you. ",Yes,yes,28,Male,5bef41fa54277d000114d6ad
"To me kinship means family relations.  For instance i have a mother, father and a sister and they are all part of my kinship.  I have lots of friends but they are not part of my kinship.",Yes,yes,58,Male,5bf2f728bd9f150001f6cc42
One should always remember that everyone on this planet is only concerned with their own advantage.,Yes,yes,41,Male,5c258d9a3217420001e6bdf4
Living with  and dying with people who take an oath to always have your back. A richness of brotherhood,Yes,yes,41,Male,5c37079c48ad2900017eb9ac
Kinship means sharing a relationship. It could also mean to have things in common with other people or a common goal that help you grow closer together.,Yes,yes,43,Female,5c6071a1e1df700001ca8bf1
From the word Kin is to reffer someone as someone the same as you which you would like kinship means a kin releationship which both partied benefit from each other and kind to each other,Yes,yes,26,Male,5c9e65dd190c440019adb0a2
"Kinship implies a level of connection that isn't necessarily a familial bond, but a bond in some way.  I can be familial but you can also find kinship with others outside of blood relatives, like friends for example.   It means a deep connection that runs deeper than just basic friendship I suppose. ",Yes,yes,42,Male,5ca4fd6660297c0017db196e
"kinship is another member of the human race providing all round back-up no matter whjat, this can also apply nto some animals if the person lives alone like i did and requires company.",Yes,yes,76,Male,5cd2ee8d66bd5c001747f52e
"Kinship means to me the promises, relationships or bonds you formed with various people. It is also the blood ties you have such as family.",Yes,yes,37,Male,5cd47eac121337001afb9e96
"Kinship means family to me, whether they are close family or distant relatives, they are my kin. It can also refer to very close friendships.",Yes,yes,68,Male,5d2b11ac3a260c001af2d338
"To me, ""kinship"" signifies a deep bond of familial or close relationships, where shared ancestry, mutual support, and emotional connection form the basis of a strong and enduring connection between individuals or groups. It embodies a sense of belonging, loyalty, and solidarity that transcends mere biological ties.",Yes,yes,26,Male,5d3b0233020a510019529b35
Kinship is the recognition that we all have a responsibility to work towards a harmonious partnership by rcognising that we are better off sharing and working together rather than alwas in competition,Yes,yes,79,Male,5d52e15363bdb100010883f1
kinship is recognizing other members of society as being part of our communtity/family or as an outsider that we don't care about,Yes,yes,44,Male,5db5d6be44d10b000bd05286
Looking after others and taking responsibility for your actions towards them,Yes,yes,46,Female,5dc354c5f375a926b78b089e 
"Kinship means identifying with the other person in a meaningful way. It could be because of family ties, shared experiences, or shared values. Kinship is the closeness you feel to those that share those traits with you.",Yes,yes,48,Male,5dd3535f41afe835d31b6610
Kinship is about people who are close to you. I think it has a meaning that you care about those who are close and that you love them. They are people who have been a part of your life for a long time and want to see you happy and succeed.,Yes,yes,27,Male,5e40c6d2aa21c630069197ea
A bond and connection between people of similar stripes and occupation.,Yes,yes,36,Male,5e66adc21cb9a343911cb497
"Can mean a family tie, but to me it's more of a feeling you get from a person, a promise, you have the same views and find the same things funny or not funny. YOu can find common ground easily with people like this. ",Yes,yes,53,Female,5e686cc00ec2fc11d7fa6dc9
"Kinship is the important people in our lives. From family to friends, to random strangers we interact with on a daily basis. ",Yes,yes,29,Male,5e691712a43f741c06e11a33
people who share common values and aims in life. Help each other in everyday living. Living with  and dying in  brotherhood,Yes,yes,83,Male,5ea02bab250e2f03bb1ceb71
"Kinship to me is 'we are in this together'. If an issue concerns others, even outside the family, they have a say or need to be considered. You could say the community. Help others and they will help you",Yes,yes,70,Male,5ea06914c2b73202ae7a3f29
Kinship is by blood. My blood is my oath to the tribe and my tribe is there to protect the brothers,Yes,yes,38,Male,5ea62c8bba2bb363b85cbbd2
"Kinship to me would be a relation ship one's family such as a brother or sister, but it doesn't have to be blood. It could be to really close people who are like a brother or sister to each other. ",Yes,yes,44,Male,5ec5af05488b5c60cdade9ba
Kinship is the relationships built between people in order to survive and thrive in society. It goes beyond familial and friend relationships and explains the every day respect and care you have for your fellow human being. ,Yes,yes,31,Male,5efc9ea8f8e7950584b12e87
Feeling that you have more in common with people than what divides you. Wishing for a place where all people are treated with respect .,Yes,yes,66,Female,5effecc85d91970e055438db
bonding with other people in the real world in different times in all kinds of brotherhood,Yes,yes,34,Male,5fa0a2400f2ecd114f39f738
Someone who is related to you. Someone that may inherit something from a family member.,Yes,yes,44,Female,5fa8b4123a3f0d7a4aab8ef3a
Kinship is when you are friends with other people with similar interests.  It is also people helping each other,Yes,yes,75,Male,5fb41cbb6ab13204137b931e
It's a relationship we feel with other people.  Are we invested in the community?  Do you feel close to them and a relationship for some reason? Connection forged in battle.,Yes,yes,58,Male,604b7afad472a5eaba51805a
"an immense breadth; it can be considered merely consanguineous, genetic ties, or even a simpler oath of affinity, initially. When there is a union, the branching still diverges and expands much further. Thus, kinship is any correlation with another, regardless of the degree of the promise.",Yes,yes,40,Male,604f75be61cf809c5e9057b3
Means solid friendship and care. Means goodness and being a true man and brother.,Yes,yes,35,Female,606537639bc40e88e953c584
