StartDate,EndDate,IPAddress,Duration (in seconds),RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,id,t1g1Comp,stag,timer1_Page Submit,timer1_Click Count,t1Dnorm1,t1Snorm1,t1g2Comp2,transferredpgg,timer2 _Page Submit,timer2 _Click Count,t1DNorm2_3,t1SNorm2_1,t1g3Comp,sentdictator,timer3 _Page Submit,timer3 _Click Count,t1DNorm3_1,t1SNorm3_1,trust comp 1 ,trust comp 2 ,action4rolea ,action4roleb ,timer4 _Page Submit,timer4 _Click Count,dnormtrustrolea ,dnormtrustroleb,trustsn ,Lotteries,heart,falkpatience _1,waterpipebechtel ,politics_1,about,kinship,combat,UCLA8scale _1,UCLA8scale _2,UCLA8scale _3,UCLA8scale _4,UCLA8scale _5,UCLA8scale _6,UCLA8scale _7,UCLA8scale _8,bigfiveshort _1,bigfiveshort _2,bigfiveshort _3,bigfiveshort _4,bigfiveshort _5,bigfiveshort _6,bigfiveshort _7,bigfiveshort _8,bigfiveshort _9,bigfiveshort _10,locus of control _1,locus of control _2,locus of control _3,locus of control _4,locus of control _5,locus of control _6,locus of control _7,locus of control _8,locus of control _9,locus of control _10,locus of control _11,locus of control _12,locus of control _13,locus of control _14,locus of control _15,locus of control _16,locus of control _17,locus of control _18,locus of control _19,locus of control _20,idx,Reviewed at,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,service,vet,session,Submission id
6/24/24 11:40,6/24/24 11:50,67.162.197.102,610,6/24/24 11:50,R_5sgmzrrguyXoyIN,34.8108,-92.2249,EN,56228c48ed6e5a0005c7fdd6,50 tokens,Blue,2.135,1,Blue,Blue,125 Tokens,50,4.021,1,0,100,80 tokens,56,3.513,1,50,50,5 tokens,15 tokens,Pass,Pass,5.013,2,Pass,Pass,Pass,"Gamble 2: Event A, Payoff: 18 tokens; Event B, Payoff: 6 tokens",0,8.98,"orange
",16,I thought this study was trying to see how people will react when they need to trust other people with money.  It reminds me of the times when I do favors for strangers or neighbors I do not know well in the hope that someone might do the same for me if I needed it.,Kinship means a blood relation to another person.  It means that you are related to them by blood and might use it casually to refer to really good friends.,Yes,sometimes,sometimes,rarely,sometimes,rarely,often,sometimes,often,agree,disagree,strongly agree,strongly agree,disagree,disagree,disagree,strongly disagree,strongly disagree,disagree,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,56228c48ed6e5a0005c7fdd6,2024-06-24T19:32:30.807000Z,C1BEKK3F,3223,39,Male,White,United States,United States,United States,English,No,Full-Time,I'm a US services veteran,yes,v5,6679a1636b0747583d7a2622
6/23/24 5:01,6/23/24 5:19,2.219.248.168,1082,6/23/24 5:19,R_82WjyAUrUzwuoxh,53.7601,-1.8021,EN,572915440802f2000e3f1afe,50 tokens,Blue,2.116,1,Yellow,none,125 Tokens,50,3.86,1,50,50,80 tokens,50,3.091,1,50,50,5 tokens,15 tokens,Pass,Pass,4.646,2,Pass,Pass,Pass,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",1,7,"grenn
",35,I think that the study is trying to capture whether I am the type of person who is willing to take risks and/or opt for short term gain. ,"In a nutshell, Kinship means family to me. It is having a person, or people, involved in your life who are members of your family and who you feel close to.",Yes,sometimes,sometimes,often,never,sometimes,often,sometimes,sometimes,disagree,agree,agree,agree,agree,agree,disagree,disagree,disagree,disagree,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,572915440802f2000e3f1afe,2024-06-23T14:02:06.700000Z,C1BEKK3F,2299,68,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,I'm a UK services veteran,yes,v3,6677f26436887756d344b79c
6/22/24 17:14,6/22/24 17:22,63.150.197.50,456,6/22/24 17:22,R_7eKeRKX2OTRTJHX,36.6694,-93.2449,EN,5914b7b50a4b9d0001add64f,50 tokens,Yellow,7.11,1,Yellow,Yellow,125 Tokens,60,6.266,1,0,100,80 tokens,20,6.987,1,0,50,5 tokens,15 tokens,Hold,Hold,5.572,2,Hold,Pass,Pass,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",0,10,"grenn
",4,I think this study is trying to capture how much risk people are willing to take. I think it's also measuring how much people trust eachother. ,"Kinship means a weak friendship. I would feel a kinship with all Americans, even though I'm not friends with them. Kinship is a feeling. ",Yes,rarely,rarely,sometimes,rarely,sometimes,sometimes,rarely,sometimes,agree,disagree,strongly agree,agree,agree,agree,neither agree or disagree,disagree,disagree,neither agree or disagree,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,5914b7b50a4b9d0001add64f,2024-06-23T01:39:10.062000Z,C1BEKK3F,3322,36,Male,White,United States,United States,United States,English,Yes,Full-Time,I'm a US services veteran,yes,v5,66774cd12267ea1290746dd2
6/22/24 13:38,6/22/24 13:48,2.125.10.80,604,6/22/24 13:48,R_2nuDg38VOWufAEm,54.5396,-5.975,EN,5a9e9fc46219a30001f54994,50 tokens,Blue,2.547,1,Blue,Yellow,50 Tokens,50,4.053,3,51,82,80 tokens,80,3.989,1,51,71,0 tokens,0 tokens,Hold,Pass,5.291,2,Hold,Pass,Pass,"Gamble 5 Event A, Payoff: 42 tokens; Event B, Payoff: -6 tokens",0,8.83,"grenn
",50,not sure very confused with the whole pattern of thinking I dont know exactly what was going or understand the thinking behind the survey placed in front of me ,the word kinship is another word for family and love it can be taken literally or theorhetically,Yes,rarely,rarely,never,never,sometimes,never,sometimes,often,agree,agree,neither agree or disagree,agree,agree,agree,agree,neither agree or disagree,disagree,agree,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,5a9e9fc46219a30001f54994,2024-06-22T20:35:06.944000Z,C1BEKK3F,2483,66,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",I'm a UK services veteran,yes,v2,66771a2a1af102d5b24e7dd3
6/23/24 4:08,6/23/24 4:23,2.54.34.7,890,6/23/24 4:23,R_83Ex9KOYcAAkDs2,32.0717,34.8153,EN,5ac71e9768b65b00018d6d8a,50 tokens,Blue,2.039,1,Yellow,Blue,125 Tokens,55,4.028,6,13,100,80 tokens,50,2.404,1,50,100,0 tokens,15 tokens,Pass,Pass,7.057,4,Pass,Pass,Pass,"Gamble 3 Event A, Payoff: 26 tokens ; Event B, Payoff: 2 tokens",0,10,"grenn
",76,"This study was very unique. I liked the social dilemmas. I dont really know where they will meet me in real life. Maybe in housekeeping fees in my building,  i will need to give more in order to get more for everyone, thank you for the study ","Kinship means supporting your family and your friends, and your surrounding community. It means to reach out to ones who need help, and that if you will need help in the future you could get help from your loved ones and community.",Yes,rarely,rarely,sometimes,sometimes,often,sometimes,sometimes,sometimes,strongly agree,agree,agree,strongly agree,agree,agree,strongly agree,strongly agree,neither agree or disagree,neither agree or disagree,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,5ac71e9768b65b00018d6d8a,2024-06-23T14:02:05.874000Z,C1BEKK3F,128,22,Male,White,Israel,Israel,Israel,Hebrew,Yes,Part-Time,I'm a services veteran from another country,yes,v3,6677e60b27cbf2e3338b0019
6/24/24 13:08,6/24/24 13:39,98.183.134.18,1821,6/24/24 13:39,R_5HXpBQFkOjfZ8hV,36.8592,-76.2729,EN,5af714c025561e00013acec0,50 tokens,Blue,1.508,1,Yellow,none,50 Tokens,70,5.32,1,10,0,80 tokens,40,6.328,3,30,10,15 tokens,5 tokens,Pass,Pass,7.519,2,Hold,Pass,neither,"Gamble 3 Event A, Payoff: 26 tokens ; Event B, Payoff: 2 tokens",0,7.25,"orange
",50,Too be completely honest they don't remind me of anything. I don't know what this study was trying to achieve. You wanted the truth that's what I gave you.,"Kinship to me is not just about blood family. Kinship is the bond between me and my Folk, Black folks. From America to South America and Afrika. I love my kin",Yes,sometimes,sometimes,rarely,sometimes,sometimes,sometimes,often,sometimes,neither agree or disagree,disagree,agree,neither agree or disagree,strongly agree,neither agree or disagree,disagree,disagree,strongly disagree,neither agree or disagree,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,5af714c025561e00013acec0,2024-06-24T19:32:31.929000Z,C1BEKK3F,127,51,Male,Black,United States,United States,United States,English,No,Full-Time,I'm a US services veteran,yes,v5,6679b626f43b5be3f51db4a3
6/22/24 10:57,6/22/24 11:27,79.50.12.248,1791,6/22/24 11:27,R_2eS2EQ5L2hDkrZM,45.6482,13.7747,EN,5b04bbd4b98c410001adb8db,0 tokens,Blue,2.83,1,Blue,Blue,125 Tokens,70,5.092,1,50,75,80 tokens,60,5.656,1,50,50,5 tokens,15 tokens,Pass,Pass,4.802,3,Pass,Pass,neither,"Gamble 3 Event A, Payoff: 26 tokens ; Event B, Payoff: 2 tokens",0,9.01,"grenn
",60,"I believe it is a study that aims to evaluate the degree of solidarity and empathy of people. In an increasingly selfish, self-centered, competitive and above all amoral society, a study of this kind, if it is really what I think, it can be useful to understand how many people are still tied to a concept of humanity and morality, in order to understand whether our society still has some hope of surviving or is destined to self-destruct in a spiral of conflicts similar to the struggles for survival in the natural world.","indicates the bond that can be generated between two members of the same species, not necessarily a familiar/blood bond. Often these types of bonds are formed when critical, traumatic, profound events are shared together, or the same ideas or feelings towards an ideal are shared. It is very common among members of the military and among professional categories where life and death experiences are often shared.",Yes,rarely,never,sometimes,sometimes,rarely,often,often,sometimes,agree,agree,strongly agree,agree,strongly agree,agree,agree,disagree,disagree,strongly disagree,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,5b04bbd4b98c410001adb8db,2024-06-22T16:59:02.041000Z,C1BEKK3F,1016,42,Male,White,Italy,Italy,Italy,Italian,No,Full-Time,I'm a services veteran from another country,yes,v2,6676f464b590cf29194d0b88
6/23/24 7:40,6/23/24 8:10,86.31.42.172,1788,6/23/24 8:10,R_82MfNkn6dBxvGUX,50.7988,-1.0944,EN,5b7c4d7d8c721a00015d2bea,50 tokens,Yellow,9.828,2,Yellow,Yellow,125 Tokens,50,12.199,1,50,50,80 tokens,50,1.985,1,50,50,5 tokens,15 tokens,Hold,Hold,5.833,4,Hold,Pass,neither,"Gamble 5 Event A, Payoff: 42 tokens; Event B, Payoff: -6 tokens",0,10,"grenn
",100,"This has been a confusing study on many levels. Having said that, I have enjoyed it.",Kinship means having a familial relationship to me. Kin are members of my extended family.,Yes,sometimes,sometimes,sometimes,rarely,often,rarely,often,often,neither agree or disagree,strongly agree,disagree,strongly disagree,strongly agree,neither agree or disagree,strongly disagree,agree,strongly agree,strongly disagree,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,5b7c4d7d8c721a00015d2bea,2024-06-23T14:02:10.726000Z,C1BEKK3F,945,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",I'm a UK services veteran,yes,v3,66781744a8eb39af2ab6c04c
6/22/24 14:03,6/22/24 14:19,86.176.210.60,1013,6/22/24 14:19,R_2WST55WmEf4T8Sl,54.9007,-5.8582,EN,5b91494498530500014c1fcd,50 tokens,Blue,3.029,1,Blue,Blue,100 Tokens,50,9.297,2,50,50,80 tokens,20,9.648,3,19,20,5 tokens,15 tokens,Pass,Pass,6.281,2,Pass,Pass,Pass,"Gamble 1: Event A, Payoff: 10 tokens; Event B, Payoff: 10 tokens",0,10,"grenn
",21,reminds me off when i donate to homeless people on the street when i deciding how much money to donate bearing in mind as to how much in my pocket at the time,having friends who you can trust with your life and knowing that you are always there for them and they are always there for you.,Yes,rarely,sometimes,rarely,never,rarely,often,sometimes,never,disagree,strongly agree,strongly agree,strongly agree,neither agree or disagree,strongly agree,strongly disagree,strongly disagree,strongly disagree,agree,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,5b91494498530500014c1fcd,2024-06-22T20:35:09.568000Z,C1BEKK3F,2256,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,I'm a UK services veteran,yes,v2,66771fe21af102d5b24e7ef8
6/23/24 13:03,6/23/24 13:12,86.45.71.36,522,6/23/24 13:12,R_8HiSSS0RENxFNlg,52.2716,-9.7056,EN,5b9f7dd13a3808000192ad3e,50 tokens,Blue,2.882,2,Blue,Blue,100 Tokens,40,6.129,1,50,60,80 tokens,45,5.586,1,1,50,5 tokens,15 tokens,Pass,Pass,7.083,2,Pass,Pass,Pass,"Gamble 2: Event A, Payoff: 18 tokens; Event B, Payoff: 6 tokens",0,8.2,"orange
",31,It seems to be about game theory. A lot of it is based on taking risks to gain more. I'm not sure if I myself am a massive risk taker but I can see if there were guaranteed rewards then I might well be willing to chance it. ,"Family and closeness. I wouldn't say friends count as it is an older style word, I think of big extended families with it, something almost akin to a tribe rather than the more typical nuclear family as the Americans would call it. ",Yes,sometimes,rarely,sometimes,sometimes,often,sometimes,rarely,rarely,agree,strongly agree,agree,agree,strongly agree,agree,strongly agree,strongly agree,agree,disagree,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,5b9f7dd13a3808000192ad3e,2024-06-23T19:52:53.908000Z,C1BEKK3F,370,33,Male,White,Ireland,Ireland,Ireland,English,No,Full-Time,I'm a services veteran from another country,yes,v3,6678637143dea20a0ac439e4
